Date,Open,High,Low,Close,Vol
19930129,43.9700,43.9700,43.7500,43.9400,1003200
19930201,43.9700,44.2500,43.9700,44.2500,480500
19930202,44.2200,44.3800,44.1300,44.3400,201300
19930203,44.4100,44.8400,44.3800,44.8100,529400
19930204,44.9700,45.0900,44.4700,45.0000,531500
19930205,44.9700,45.0600,44.7200,44.9700,492100
19930208,44.9700,45.1300,44.9100,44.9700,596100
19930209,44.8100,44.8100,44.5600,44.6600,122100
19930210,44.6600,44.7500,44.5300,44.7200,379600
19930211,44.7800,45.1300,44.7800,44.9400,19500
19930212,44.8800,44.8800,44.5900,44.5900,42500
19930216,44.4700,44.4700,43.4100,43.4700,374800
19930217,43.4700,43.5300,43.2800,43.4400,210900
19930218,43.9400,43.9400,42.8100,43.4100,378100
19930219,43.4100,43.5600,43.3400,43.5600,34900
19930222,43.6900,43.7800,43.5600,43.7200,513600
19930223,43.8400,43.8800,43.4700,43.6900,373700
19930224,43.7200,44.2500,43.7200,44.2500,26300
19930225,44.2200,44.3800,44.1300,44.3400,44500
19930226,44.4400,44.4400,44.1900,44.4100,66200
19930301,44.5600,44.5600,44.2200,44.2800,66500
19930302,44.3100,44.9400,44.2500,44.9400,182400
19930303,45.0000,45.1600,44.9400,45.1300,280100
19930304,45.1900,45.1900,44.8800,44.8800,89500
19930305,44.9400,45.1300,44.7200,44.7500,40000
19930308,44.8400,45.7500,44.8400,45.7500,50800
19930309,45.6600,45.6900,45.5000,45.5900,169300
19930310,45.5900,45.6900,45.4100,45.6900,194400
19930311,45.7200,45.8400,45.5000,45.5600,70900
19930312,45.1900,45.2200,44.8100,45.0900,643600
19930315,45.0600,45.3100,45.0600,45.3100,310800
19930316,45.3100,45.4400,45.3100,45.3100,30800
19930317,45.2500,45.2500,44.9700,45.0300,21800
19930318,45.2200,45.5000,45.2200,45.3100,59300
19930319,45.2800,45.2800,45.0300,45.0300,66900
19930322,44.5900,44.8800,44.5600,44.7800,183400
19930323,44.9100,44.9400,44.8100,44.8800,55200
19930324,44.8100,45.0600,44.5900,44.8800,37200
19930325,44.9100,45.2500,44.8400,45.1600,110100
19930326,45.1300,45.1600,44.8800,44.9100,101500
19930329,44.9400,45.3100,44.9400,45.0900,87100
19930330,45.1600,45.2200,45.0900,45.2200,56000
19930331,45.3400,45.4700,45.1900,45.1900,111600
19930401,45.2500,45.2500,44.9400,45.0300,129500
19930402,44.6600,44.6600,44.0900,44.0900,59400
19930405,44.4400,44.4400,44.1900,44.3100,172200
19930406,44.4100,44.4100,44.0600,44.1900,129700
19930407,44.2500,44.3400,44.1600,44.3400,28000
